Check No.,Severity,Description,Interpretation Guidance
1,Error,The combination of LB.LBTESTCD/LBCAT/LBSPEC/LBMETHOD  is not available in trial LUDWIG and not in current LUDWIG,"Each unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain should have a match in LUDWIG, and specifically in the LUDWIG version applicable when the tsDTA was first finalized or EDC system went live. A trial specific version of LUDWIG can be generated from LABDICT_ALL based on the date the tsDTA was first finalized or the EDC go live was obtained. The trial specific version of LUDWIG is provided in one of the reference tabs at the end of this spreadsheet, as is the current version of LUDWIG. Tests added due to protocol amendments can be incorporated using code in the SAS script to pull in these tests without pulling in other updates that may have occured on other tests as a result of continual lab dictionary maintenance. If tests have been added via a protocol amendment for example, these must be available in EDC (added through migration) or updated into the tsDTA. If you have output from this test, please check to make sure that your tsDTA or EDC test list is in alignment with your data."
2,Error,The combination of LB.LBTESTCD/LBCAT/LBSPEC/LBMETHOD  is not available in trial LUDWIG and but is available in the current LUDWIG,"Each unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain should have a match in LUDWIG, and specifically in the LUDWIG version applicable when the tsDTA was first finalized or EDC system went live. A trial specific version of LUDWIG can be generated from LABDICT_ALL based on the date the tsDTA was first finalized or the EDC go live was obtained. The trial specific version of LUDWIG is provided in one of the reference tabs at the end of this spreadsheet, as is the current version of LUDWIG. Tests added due to protocol amendments can be incorporated using code in the SAS script to pull in these tests without pulling in other updates that may have occured on other tests as a result of continual lab dictionary maintenance. If tests have been added via a protocol amendment for example, these must be available in EDC (added through migration) or updated into the tsDTA. If you have output from this test, please check to make sure that your tsDTA or EDC test list is in alignment with your data."
301,Error,Both LB.LBTESTCD and LB.LBTEST are not available in trial LUDWIG,"The LBTESTCD / LBTEST combination in the LB domain, must have an exact match in the trial specific version of LUDWIG. For this output, neither LBTESTCD nor LBTEST have a match in the trial specific version of LUDWIG. Please request corrections that ensure a match to the trial specific version of LUDWIG and ensure that the LBTESTCD/LBTEST used are in alignment with your tsDTA or EDC test list"
302,Error,LB.LBTESTCD is available in trial LUDWIG but LB.LBTEST is not,"LBTESTCD / LBTEST combination must have an exact match in the trial specific version of LUDWIG. For this output, LBTESTCD has a match but the corresponding LBTEST does not. Please request corrections that ensure a match to the trial specific version of LUDWIG . Please request corrections that ensure a match to the trial specific version of LUDWIG and ensure that the LBTESTCD/LBTEST used are in alignment with your tsDTA or EDC test list"
303,Error,LB.LBTEST is available in trial LUDWIG but LB.LBTESTCD is not,"LBTESTCD / LBTEST combination must have an exact match in the trial specific version of LUDWIG. For this output, LBTEST has a match but the corresponding LBTESTCD does not. Please request corrections that ensure a match to the trial specific version of LUDWIG. Please request corrections that ensure a match to the trial specific version of LUDWIG and ensure that the LBTESTCD/LBTEST used are in alignment with your tsDTA or EDC test list"
4,Error,"If the combo has a testtype of continuous, does the LBSTRESU in LB match the LBSTRESU in trial LUDWIG","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, there should be a match in the trial specific LUDWIG version and a matching LBSTRESU. If there is a mismatch in LBSTRESU, please investigate the reason for the mismatch and ensure correction to a matching LBSTRESU."
5,Error,"If the combo has a testtype of continuous, please ensure that LBSTNRC is null","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, ensure that LBSTNRC is null. LBSTNRC should only ever be populated with discrete values considered normal for tests with a testtype DISCRETE. As a reminder, if there are >1 discrete results considered normal, these should be separated by a semi-colon. Please note that this requirement is not clearly specified in the gDTA, so that clarification will be provided in the next gDTA release"
6,Error,"If the combo has a testtype of continuous, does the LBORRESU in LB match an available LBORRESU in LUDWIG","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, there should be a match in the trial specific LUDWIG version and a matching LBORRESU. If there is a mismatch in LBORRESU, please investigate the reason for the mismatch and ensure correction to a matching LBORRESU."
7,Error,"If the combo has a testtype of continuous and LBNRIND is provided, it should be either HIGH/LOW or NORMAL","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a continuous measure, the only valid LBNRIND values are HIGH, LOW and NORMAL. Please investigate the non-compliant LBNRIND and ensure correction"
8,Error,"If the combo has a testtype of discrete and LBNRIND is provided, it should be either ABNORMAL or NORMAL","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a discrete measure, the only valid LBNRIND values are NORMAL and ABNORMAL. Please investigate the non-compliant LBNRIND and ensure correction"
9,Error,"If the combination of LBTESTCD/LBCAT/LBSPEC/LBMETHOD has a testtype of discrete, LBORNRLO, LBORNRHI, LBSTRESN, LBSTNRLO and LBSTNRHI should be null","For any unique combination (LBTESTCD, LBCAT, LBSPEC, LBMETHOD) in the LB domain yielding results as a discrete measure, the only range field that should be completed is LBSTNRC (listing the discrete result(s) considered normal, separated by a ; if there is greater than normal discrete result). In addition, even if the discrete result is a true number, it should not be copied to LBSTRESN. If one or more of LBORNRLO, LBORNRHI, LBSTNRLO, LBSTNRHI, LBSTRESN are completed, please ensure that these are removed, or re-evaluate whether the correct test code has been applied."
