VALUEOID,VALVAL,VALLABEL,DATATYPE,LNGTH,DECDIG,NUMFMT,ORIGIN,VARORDER,CODELST,VALUELST,COMMENTS,COMPMETH,II
QS.QSCAT.ABC.QSTESTCD,ABC0101,ABC01-Excessively Active,text,46,,,CRF,001,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0102,ABC01-Injures Self on Purpose,text,46,,,CRF,002,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0103,"ABC01-Listless, Sluggish, Inactive",text,46,,,CRF,003,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0104,ABC01-Aggressive to Other Children,text,46,,,CRF,004,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0105,ABC01-Seeks Isolation from Others,text,46,,,CRF,005,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0106,ABC01-Recurring Body Movements,text,46,,,CRF,006,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0107,ABC01-Boisterous,text,46,,,CRF,007,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0108,ABC01-Screams Inappropriately,text,46,,,CRF,008,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0109,ABC01-Talks Excessively,text,46,,,CRF,009,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0110,ABC01-Temper Tantrums/Outbursts,text,46,,,CRF,010,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0111,ABC01-Stereotyped Behavior,text,46,,,CRF,011,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0112,"ABC01-Preoccupied, Stares into Space",text,46,,,CRF,012,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0113,ABC01-Impulsive,text,46,,,CRF,013,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0114,ABC01-Irritable and Whiny,text,46,,,CRF,014,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0115,"ABC01-Restless, Unable to Sit Still",text,46,,,CRF,015,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0116,"ABC01-Withdrawn, Prefers Solitary Activ",text,46,,,CRF,016,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0117,"ABC01-Odd, Bizarre in Behavior",text,46,,,CRF,017,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0118,"ABC01-Disobedient, Difficult to Control",text,46,,,CRF,018,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0119,ABC01-Yells at Inappropriate Times,text,46,,,CRF,019,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0120,ABC01-Fixed Facial Expression,text,46,,,CRF,020,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0121,ABC01-Disturbs Others,text,46,,,CRF,021,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0122,ABC01-Repetitive Speech,text,46,,,CRF,022,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0123,ABC01-Does Nothing but Sit and Watch,text,46,,,CRF,023,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0124,ABC01-Uncooperative,text,46,,,CRF,024,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0125,ABC01-Depressed Mood,text,46,,,CRF,025,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0126,ABC01-Resists of Physical Contact,text,46,,,CRF,026,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0127,ABC01-Moves or Rolls Head Back and Forth,text,46,,,CRF,027,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0128,ABC01-Does Not Pay Attention to Instruct,text,46,,,CRF,028,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0129,ABC01-Demands Must be Met Immediately,text,46,,,CRF,029,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0130,ABC01-Isolates from Others,text,46,,,CRF,030,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0131,ABC01-Disrupts Group Activities,text,46,,,CRF,031,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0132,ABC01-One Position for a Long Time,text,46,,,CRF,032,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0133,ABC01-Talks to Self Loudly,text,46,,,CRF,033,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0134,"ABC01-Cries over Minor Annoyances, Hurts",text,46,,,CRF,034,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0135,ABC01-Repetitive Movements,text,46,,,CRF,035,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0136,ABC01-Mood Changes Quickly,text,46,,,CRF,036,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0137,ABC01-Unresponsive to Structured Activ,text,46,,,CRF,037,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0138,ABC01-Does Not Stay in Seat,text,46,,,CRF,038,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0139,ABC01-Will Not Sit Still for Any Length,text,46,,,CRF,039,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0140,"ABC01-Is Difficult to Reach, Contact",text,46,,,CRF,040,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0141,ABC01-Cries and Screams Inappropriately,text,46,,,CRF,041,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0142,ABC01-Prefers to be Alone,text,46,,,CRF,042,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0143,ABC01-Does Not Try to Communicate,text,46,,,CRF,043,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0144,ABC01-Easily Distractible,text,46,,,CRF,044,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0145,ABC01-Waves or Shakes the Extremities,text,46,,,CRF,045,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0146,ABC01-Repeats a Word or Phrase Over,text,46,,,CRF,046,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0147,ABC01-Stamps Feet or Bangs Objects,text,46,,,CRF,047,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0148,ABC01-Constantly Runs or Jumps Around,text,46,,,CRF,048,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0149,ABC01-Rocks Body Back and Forth,text,46,,,CRF,049,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0150,ABC01-Deliberately Hurts Himself/Herself,text,46,,,CRF,050,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0151,ABC01-Pays No Attention When Spoken To,text,46,,,CRF,051,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0152,ABC01-Does Physical Violence to Self,text,46,,,CRF,052,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0153,"ABC01-Inactive, Never Moves Spontaneous",text,46,,,CRF,053,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0154,ABC01-Tends to be Excessively Active,text,46,,,CRF,054,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0155,ABC01-Responds Negatively to Affection,text,46,,,CRF,055,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0156,ABC01-Deliberately Ignores Directions,text,46,,,CRF,056,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0157,ABC01-Tantrums When Does Not Get Own Way,text,46,,,CRF,057,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,ABC0158,ABC01-Shows Few Social Reactions,text,46,,,CRF,058,ABC01L1,,,,
QS.QSCAT.ABC.QSTESTCD,QSALL,Questionnaire Tests,text,1,,,CRF,059,,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0101,ACQ01-Woken By Your Asthma During Night,text,33,,,CRF,001,ACQL01,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0102,ACQ01-How Bad Symptoms When You Woke Up,text,21,,,CRF,002,ACQL02,,,,
QS.QSCAT.ACQ.QSTESTCD,ACQ0103,ACQ01-How Limited in Activities,text,21,,,CRF,003,ACQL03,,,,
